initial_alias,converted_alias,name,description
ILMN_1656401,None,None,None
ILMN_1656402,ENSG00000141279,NPEPPS,aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900]
ILMN_1656404,ENSG00000198169,ZNF251,zinc finger protein 251 [Source:HGNC Symbol;Acc:HGNC:13045]
ILMN_1656410,ENSG00000137672,TRPC6,transient receptor potential cation channel subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:12338]
ILMN_1656413,ENSG00000084073,ZMPSTE24,zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:HGNC:12877]
ILMN_1656415,ENSG00000123080,CDKN2C,cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]
ILMN_1656420,ENSG00000131797,CLUHP3,clustered mitochondria homolog pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:28447]
ILMN_1656421,ENSG00000260644,HERC2P5,hect domain and RLD 2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:4873]
ILMN_1656424,ENSG00000182004,SNRPE,small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161]
ILMN_1656424,ENSG00000233270,SNRPEP4,small nuclear ribonucleoprotein polypeptide E pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:43446]
ILMN_1656424,ENSG00000256968,SNRPEP2,small nuclear ribonucleoprotein polypeptide E pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:20733]
ILMN_1656427,ENSG00000141034,GID4,GID complex subunit 4 homolog [Source:HGNC Symbol;Acc:HGNC:28453]
ILMN_1656429,None,None,None
ILMN_1656434,ENSG00000176095,IP6K1,inositol hexakisphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18360]
ILMN_1656463,ENSG00000149196,HIKESHI,heat shock protein nuclear import factor hikeshi [Source:HGNC Symbol;Acc:HGNC:26938]
ILMN_1656463,ENSG00000267544,AC007229.1,chromosome 11 open reading frame 73 (C11orf73) pseudogene
ILMN_1656472,ENSG00000154016,GRAP,GRB2 related adaptor protein [Source:HGNC Symbol;Acc:HGNC:4562]
ILMN_1656472,ENSG00000189152,GRAPL,GRB2 related adaptor protein like [Source:HGNC Symbol;Acc:HGNC:37240]
ILMN_1656477,ENSG00000100299,ARSA,arylsulfatase A [Source:HGNC Symbol;Acc:HGNC:713]
ILMN_1656482,ENSG00000130703,OSBPL2,oxysterol binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:15761]
ILMN_1656486,ENSG00000077232,DNAJC10,DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]
ILMN_1656487,ENSG00000171560,FGA,fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]
ILMN_1656492,ENSG00000203799,CCDC162P,"coiled-coil domain containing 162, pseudogene [Source:HGNC Symbol;Acc:HGNC:21565]"
ILMN_1656495,ENSG00000214513,NOTO,notochord homeobox [Source:HGNC Symbol;Acc:HGNC:31839]
ILMN_1656496,ENSG00000135999,EPC2,enhancer of polycomb homolog 2 [Source:HGNC Symbol;Acc:HGNC:24543]
ILMN_1656501,ENSG00000138166,DUSP5,dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]
ILMN_1656502,None,None,None
ILMN_1656504,ENSG00000131845,AC005261.1,zinc finger protein 304 [Source:NCBI gene;Acc:57343]
ILMN_1656509,ENSG00000214856,KRT16P1,keratin 16 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:6420]
ILMN_1656521,ENSG00000189306,RRP7A,ribosomal RNA processing 7 homolog A [Source:HGNC Symbol;Acc:HGNC:24286]
ILMN_1656525,ENSG00000090487,SPG21,"SPG21 abhydrolase domain containing, maspardin [Source:HGNC Symbol;Acc:HGNC:20373]"
ILMN_1656527,ENSG00000258692,SALL4P7,spalt like transcription factor 4 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:43900]
ILMN_1656530,None,None,None
ILMN_1656534,None,None,None
ILMN_1656537,ENSG00000128739,SNRPN,small nuclear ribonucleoprotein polypeptide N [Source:HGNC Symbol;Acc:HGNC:11164]
ILMN_1656540,ENSG00000175792,RUVBL1,RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474]
ILMN_1656553,ENSG00000241014,AC114490.1,novel platelet-activating factor receptor family pseudogene
ILMN_1656554,ENSG00000182974,AC135068.1,novel olfactory receptor protein similar to OR4M2
ILMN_1656554,ENSG00000274102,OR4M2,olfactory receptor family 4 subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:15373]
ILMN_1656554,ENSG00000280709,LINC02203,long intergenic non-protein coding RNA 2203 [Source:HGNC Symbol;Acc:HGNC:53069]
ILMN_1656560,ENSG00000169116,PARM1,prostate androgen-regulated mucin-like protein 1 [Source:HGNC Symbol;Acc:HGNC:24536]
ILMN_1656562,None,None,None
ILMN_1656574,ENSG00000156374,PCGF6,polycomb group ring finger 6 [Source:HGNC Symbol;Acc:HGNC:21156]
ILMN_1656576,ENSG00000167654,ATCAY,ATCAY kinesin light chain interacting caytaxin [Source:HGNC Symbol;Acc:HGNC:779]
ILMN_1656579,ENSG00000144395,CCDC150,coiled-coil domain containing 150 [Source:HGNC Symbol;Acc:HGNC:26834]
ILMN_1656589,ENSG00000236229,VEZF1P1,vascular endothelial zinc finger 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32320]
ILMN_1656593,ENSG00000154027,AK5,adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]
ILMN_1656595,ENSG00000185482,STAC3,SH3 and cysteine rich domain 3 [Source:HGNC Symbol;Acc:HGNC:28423]
ILMN_1656619,None,None,None
ILMN_1656621,ENSG00000130724,CHMP2A,charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]
ILMN_1656624,ENSG00000146521,LINC01558,long intergenic non-protein coding RNA 1558 [Source:HGNC Symbol;Acc:HGNC:21235]
ILMN_1656625,ENSG00000138326,RPS24,ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:10411]
ILMN_1656628,ENSG00000160193,WDR4,WD repeat domain 4 [Source:HGNC Symbol;Acc:HGNC:12756]
ILMN_1656630,ENSG00000279277,AC012020.1,novel transcript
ILMN_1656635,None,None,None
ILMN_1656636,None,None,None
ILMN_1656656,ENSG00000240230,COX19,cytochrome c oxidase assembly factor COX19 [Source:HGNC Symbol;Acc:HGNC:28074]
ILMN_1656662,ENSG00000114391,RPL24,ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]
ILMN_1656662,ENSG00000235065,RPL24P2,ribosomal protein L24 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16597]
ILMN_1656670,ENSG00000204632,HLA-G,"major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]"
ILMN_1656672,None,None,None
ILMN_1656676,ENSG00000162378,ZYG11B,"zyg-11 family member B, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:25820]"
ILMN_1656678,ENSG00000264538,SUZ12P1,SUZ12 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32421]
ILMN_1656682,ENSG00000155096,AZIN1,antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]
ILMN_1656691,ENSG00000151876,FBXO4,F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]
ILMN_1656718,ENSG00000140995,DEF8,differentially expressed in FDCP 8 homolog [Source:HGNC Symbol;Acc:HGNC:25969]
ILMN_1656722,None,None,None
ILMN_1656761,ENSG00000177426,TGIF1,TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]
ILMN_1656791,ENSG00000137154,RPS6,ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]
ILMN_1656792,ENSG00000059122,FLYWCH1,FLYWCH-type zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:25404]
ILMN_1656798,ENSG00000134375,TIMM17A,translocase of inner mitochondrial membrane 17A [Source:HGNC Symbol;Acc:HGNC:17315]
ILMN_1656801,ENSG00000233622,CYP2T1P,"cytochrome P450 family 2 subfamily T member 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:18852]"
ILMN_1656807,ENSG00000131469,RPL27,ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328]
ILMN_1656818,ENSG00000187037,GPR141,G protein-coupled receptor 141 [Source:HGNC Symbol;Acc:HGNC:19997]
ILMN_1656822,ENSG00000079805,DNM2,dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]
ILMN_1656826,ENSG00000154447,SH3RF1,SH3 domain containing ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17650]
ILMN_1656837,ENSG00000114115,RBP1,retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]
ILMN_1656840,ENSG00000048707,VPS13D,vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]
ILMN_1656842,ENSG00000229373,LINC00452,long intergenic non-protein coding RNA 452 [Source:HGNC Symbol;Acc:HGNC:42800]
ILMN_1656846,ENSG00000107185,RGP1,"RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]"
ILMN_1656849,ENSG00000112053,SLC26A8,solute carrier family 26 member 8 [Source:HGNC Symbol;Acc:HGNC:14468]
ILMN_1656868,ENSG00000169203,NPIPB12,nuclear pore complex interacting protein family member B12 [Source:HGNC Symbol;Acc:HGNC:37491]
ILMN_1656868,ENSG00000169246,NPIPB3,nuclear pore complex interacting protein family member B3 [Source:HGNC Symbol;Acc:HGNC:28989]
ILMN_1656868,ENSG00000185864,NPIPB4,nuclear pore complex interacting protein family member B4 [Source:HGNC Symbol;Acc:HGNC:41985]
ILMN_1656868,ENSG00000243716,NPIPB5,nuclear pore complex interacting protein family member B5 [Source:HGNC Symbol;Acc:HGNC:37233]
ILMN_1656868,ENSG00000254206,NPIPB11,nuclear pore complex interacting protein family member B11 [Source:HGNC Symbol;Acc:HGNC:37453]
ILMN_1656869,ENSG00000168961,LGALS9,galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]
ILMN_1656869,ENSG00000170298,LGALS9B,galectin 9B [Source:HGNC Symbol;Acc:HGNC:24842]
ILMN_1656869,ENSG00000171916,LGALS9C,galectin 9C [Source:HGNC Symbol;Acc:HGNC:33874]
ILMN_1656883,ENSG00000283235,AC139493.2,novel transcript
ILMN_1656886,ENSG00000188223,AD000671.1,novel protein
ILMN_1656886,ENSG00000267796,LIN37,lin-37 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:33234]
ILMN_1656898,ENSG00000256103,ATP5MFP5,ATP synthase membrane subunit f pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:33611]
ILMN_1656900,ENSG00000196502,SULT1A1,sulfotransferase family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:11453]
ILMN_1656900,ENSG00000197165,SULT1A2,sulfotransferase family 1A member 2 [Source:HGNC Symbol;Acc:HGNC:11454]
ILMN_1656900,ENSG00000213599,SLX1A-SULT1A3,SLX1A-SULT1A3 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44437]
ILMN_1656900,ENSG00000213648,SULT1A4,sulfotransferase family 1A member 4 [Source:HGNC Symbol;Acc:HGNC:30004]
ILMN_1656900,ENSG00000260280,SLX1B-SULT1A4,SLX1B-SULT1A4 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:48353]
ILMN_1656900,ENSG00000261052,SULT1A3,sulfotransferase family 1A member 3 [Source:HGNC Symbol;Acc:HGNC:11455]
ILMN_1656902,ENSG00000126107,HECTD3,HECT domain E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:26117]
ILMN_1656904,ENSG00000115902,SLC1A4,solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]
ILMN_1656909,ENSG00000015568,RGPD5,RANBP2 like and GRIP domain containing 5 [Source:HGNC Symbol;Acc:HGNC:32418]
ILMN_1656909,ENSG00000169756,LIMS1,LIM zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6616]
ILMN_1656910,ENSG00000121236,TRIM6,tripartite motif containing 6 [Source:HGNC Symbol;Acc:HGNC:16277]
ILMN_1656913,ENSG00000014641,MDH1,malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]
ILMN_1656915,ENSG00000156011,PSD3,pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]
ILMN_1656920,ENSG00000213145,CRIP1,cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360]
ILMN_1656920,ENSG00000257341,AL928654.3,novel protein
ILMN_1656925,None,None,None
ILMN_1656934,ENSG00000169891,REPS2,RALBP1 associated Eps domain containing 2 [Source:HGNC Symbol;Acc:HGNC:9963]
ILMN_1656938,ENSG00000134955,SLC37A2,solute carrier family 37 member 2 [Source:HGNC Symbol;Acc:HGNC:20644]
ILMN_1656939,None,None,None
ILMN_1656940,ENSG00000173210,ABLIM3,actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]
ILMN_1656942,ENSG00000012211,PRICKLE3,prickle planar cell polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:6645]
ILMN_1656949,ENSG00000236320,SLFN14,schlafen family member 14 [Source:HGNC Symbol;Acc:HGNC:32689]
ILMN_1656951,ENSG00000154856,APCDD1,APC down-regulated 1 [Source:HGNC Symbol;Acc:HGNC:15718]
ILMN_1656955,ENSG00000240184,PCDHGC3,"protocadherin gamma subfamily C, 3 [Source:HGNC Symbol;Acc:HGNC:8716]"
ILMN_1656962,ENSG00000233762,AC007969.1,ribosomal protein S15 (RPS15) pseudogene
ILMN_1656977,ENSG00000198130,HIBCH,3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]
ILMN_1656981,ENSG00000259511,UBE2Q2L,ubiquitin conjugating enzyme E2 Q2 like [Source:HGNC Symbol;Acc:HGNC:44656]
ILMN_1656988,None,None,None
ILMN_1656998,ENSG00000258469,CHMP4BP1,charged multivesicular body protein 4B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43616]
ILMN_1657009,ENSG00000163531,NFASC,neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]
ILMN_1657010,ENSG00000254229,FAM90A12P,"family with sequence similarity 90 member A12, pseudogene [Source:HGNC Symbol;Acc:HGNC:32260]"
ILMN_1657011,ENSG00000234771,SLC25A25-AS1,SLC25A25 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27844]
ILMN_1657022,ENSG00000153989,NUS1,NUS1 dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:21042]
ILMN_1657041,None,None,None
ILMN_1657045,ENSG00000159842,ABR,ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]
ILMN_1657050,ENSG00000164291,ARSK,arylsulfatase family member K [Source:HGNC Symbol;Acc:HGNC:25239]
ILMN_1657064,ENSG00000130023,ERMARD,ER membrane associated RNA degradation [Source:HGNC Symbol;Acc:HGNC:21056]
ILMN_1657077,ENSG00000170677,SOCS6,suppressor of cytokine signaling 6 [Source:HGNC Symbol;Acc:HGNC:16833]
ILMN_1657079,None,None,None
ILMN_1657086,None,None,None
ILMN_1657095,ENSG00000131748,STARD3,StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]
ILMN_1657128,ENSG00000060656,PTPRU,protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]
ILMN_1657129,ENSG00000005020,SKAP2,src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]
ILMN_1657139,ENSG00000065457,ADAT1,adenosine deaminase tRNA specific 1 [Source:HGNC Symbol;Acc:HGNC:228]
ILMN_1657144,ENSG00000181873,IBA57,iron-sulfur cluster assembly factor IBA57 [Source:HGNC Symbol;Acc:HGNC:27302]
ILMN_1657145,ENSG00000005102,MEOX1,mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]
ILMN_1657147,ENSG00000255996,AC005906.1,"eukaryotic translation initiation factor 3, subunit F (EIF3F) pseudogene"
ILMN_1657148,ENSG00000267493,CIRBP-AS1,CIRBP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28588]
ILMN_1657153,ENSG00000115091,ACTR3,actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]
ILMN_1657157,None,None,None
ILMN_1657158,ENSG00000163961,RNF168,ring finger protein 168 [Source:HGNC Symbol;Acc:HGNC:26661]
ILMN_1657191,ENSG00000241123,KRTAP10-5,keratin associated protein 10-5 [Source:HGNC Symbol;Acc:HGNC:22969]
ILMN_1657204,ENSG00000142230,SAE1,SUMO1 activating enzyme subunit 1 [Source:HGNC Symbol;Acc:HGNC:30660]
ILMN_1657210,None,None,None
ILMN_1657222,None,None,None
ILMN_1657237,ENSG00000095906,NUBP2,nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8042]
ILMN_1657238,ENSG00000235538,AL078602.1,novel transcript
ILMN_1657248,ENSG00000124882,EREG,epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]
ILMN_1657266,ENSG00000245526,LINC00461,long intergenic non-protein coding RNA 461 [Source:HGNC Symbol;Acc:HGNC:42810]
ILMN_1657273,None,None,None
ILMN_1657278,ENSG00000107404,DVL1,dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]
ILMN_1657283,ENSG00000091542,ALKBH5,"alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]"
ILMN_1657288,ENSG00000215190,LINC00680,long intergenic non-protein coding RNA 680 [Source:HGNC Symbol;Acc:HGNC:44417]
ILMN_1657288,ENSG00000283352,AL021368.4,novel transcript
ILMN_1657302,ENSG00000196502,SULT1A1,sulfotransferase family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:11453]
ILMN_1657317,ENSG00000005075,POLR2J,RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]
ILMN_1657332,ENSG00000175602,CCDC85B,coiled-coil domain containing 85B [Source:HGNC Symbol;Acc:HGNC:24926]
ILMN_1657340,ENSG00000198182,ZNF607,zinc finger protein 607 [Source:HGNC Symbol;Acc:HGNC:28192]
ILMN_1657344,ENSG00000181690,PLAG1,PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045]
ILMN_1657347,ENSG00000114626,ABTB1,ankyrin repeat and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275]
ILMN_1657347,ENSG00000114631,PODXL2,podocalyxin like 2 [Source:HGNC Symbol;Acc:HGNC:17936]
ILMN_1657348,None,None,None
ILMN_1657349,ENSG00000080224,EPHA6,EPH receptor A6 [Source:HGNC Symbol;Acc:HGNC:19296]
ILMN_1657358,ENSG00000206531,CD200R1L,CD200 receptor 1 like [Source:HGNC Symbol;Acc:HGNC:24665]
ILMN_1657361,ENSG00000100307,CBX7,chromobox 7 [Source:HGNC Symbol;Acc:HGNC:1557]
ILMN_1657373,ENSG00000090530,P3H2,prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317]
ILMN_1657378,ENSG00000267452,LINC02073,long intergenic non-protein coding RNA 2073 [Source:HGNC Symbol;Acc:HGNC:52919]
ILMN_1657395,None,None,None
ILMN_1657398,ENSG00000228340,MIR646HG,MIR646 host gene [Source:HGNC Symbol;Acc:HGNC:27659]
ILMN_1657399,ENSG00000185002,RFX6,regulatory factor X6 [Source:HGNC Symbol;Acc:HGNC:21478]
ILMN_1657405,ENSG00000157837,SPPL3,signal peptide peptidase like 3 [Source:HGNC Symbol;Acc:HGNC:30424]
ILMN_1657423,ENSG00000090487,SPG21,"SPG21 abhydrolase domain containing, maspardin [Source:HGNC Symbol;Acc:HGNC:20373]"
ILMN_1657436,ENSG00000111790,FGFR1OP2,FGFR1 oncogene partner 2 [Source:HGNC Symbol;Acc:HGNC:23098]
ILMN_1657446,ENSG00000135778,NTPCR,"nucleoside-triphosphatase, cancer-related [Source:HGNC Symbol;Acc:HGNC:28204]"
ILMN_1657451,ENSG00000135250,SRPK2,SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]
ILMN_1657455,ENSG00000105352,CEACAM4,CEA cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:1816]
ILMN_1657470,ENSG00000185728,YTHDF3,YTH N6-methyladenosine RNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:26465]
ILMN_1657475,ENSG00000137070,IL11RA,interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]
ILMN_1657475,ENSG00000213930,GALT,galactose-1-phosphate uridylyltransferase [Source:HGNC Symbol;Acc:HGNC:4135]
ILMN_1657478,ENSG00000254585,MAGEL2,MAGE family member L2 [Source:HGNC Symbol;Acc:HGNC:6814]
ILMN_1657483,ENSG00000101310,SEC23B,"SEC23 homolog B, coat complex II component [Source:HGNC Symbol;Acc:HGNC:10702]"
ILMN_1657486,ENSG00000188124,OR2AG2,olfactory receptor family 2 subfamily AG member 2 [Source:HGNC Symbol;Acc:HGNC:15143]
ILMN_1657495,ENSG00000110917,MLEC,malectin [Source:HGNC Symbol;Acc:HGNC:28973]
ILMN_1657497,ENSG00000137261,KIAA0319,KIAA0319 [Source:HGNC Symbol;Acc:HGNC:21580]
ILMN_1657505,ENSG00000168453,HR,HR lysine demethylase and nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:5172]
ILMN_1657509,ENSG00000182173,TSEN54,tRNA splicing endonuclease subunit 54 [Source:HGNC Symbol;Acc:HGNC:27561]
ILMN_1657515,ENSG00000100784,RPS6KA5,ribosomal protein S6 kinase A5 [Source:HGNC Symbol;Acc:HGNC:10434]
ILMN_1657527,ENSG00000256660,CLEC12B,C-type lectin domain family 12 member B [Source:HGNC Symbol;Acc:HGNC:31966]
ILMN_1657547,ENSG00000109881,CCDC34,coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:HGNC:25079]
ILMN_1657550,ENSG00000167508,MVD,mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]
ILMN_1657554,ENSG00000184205,TSPYL2,TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]
ILMN_1657571,ENSG00000198356,GET3,"guided entry of tail-anchored proteins factor 3, ATPase [Source:HGNC Symbol;Acc:HGNC:752]"
ILMN_1657572,None,None,None
ILMN_1657589,None,None,None
ILMN_1657595,ENSG00000227542,AC092614.1,novel transcript
ILMN_1657603,ENSG00000273540,AGBL1,ATP/GTP binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:26504]
ILMN_1657612,ENSG00000236976,AC091685.2,ribosomal protein L6 (RPL6) pseudogene
ILMN_1657618,ENSG00000146457,WTAP,WT1 associated protein [Source:HGNC Symbol;Acc:HGNC:16846]
ILMN_1657619,ENSG00000164031,DNAJB14,DnaJ heat shock protein family (Hsp40) member B14 [Source:HGNC Symbol;Acc:HGNC:25881]
ILMN_1657624,ENSG00000088833,NSFL1C,NSFL1 cofactor [Source:HGNC Symbol;Acc:HGNC:15912]
ILMN_1657627,ENSG00000129993,CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3 [Source:HGNC Symbol;Acc:HGNC:1537]
ILMN_1657632,ENSG00000243749,TMEM35B,transmembrane protein 35B [Source:HGNC Symbol;Acc:HGNC:40021]
ILMN_1657632,ENSG00000271741,AC114490.2,"novel transcript, ZMYM6-ZMYM6NB readthrough"
ILMN_1657634,ENSG00000144554,FANCD2,FA complementation group D2 [Source:HGNC Symbol;Acc:HGNC:3585]
ILMN_1657639,ENSG00000116406,EDEM3,ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:HGNC:16787]
ILMN_1657662,ENSG00000196678,ERI2,ERI1 exoribonuclease family member 2 [Source:HGNC Symbol;Acc:HGNC:30541]
ILMN_1657673,ENSG00000238227,TMEM250,transmembrane protein 250 [Source:HGNC Symbol;Acc:HGNC:31009]
ILMN_1657679,ENSG00000134215,VAV3,vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]
ILMN_1657680,ENSG00000198624,CCDC69,coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]
ILMN_1657682,ENSG00000168827,GFM1,G elongation factor mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:13780]
ILMN_1657683,ENSG00000119280,C1orf198,chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900]
ILMN_1657697,ENSG00000079332,SAR1A,secretion associated Ras related GTPase 1A [Source:HGNC Symbol;Acc:HGNC:10534]
ILMN_1657701,None,None,None
ILMN_1657708,ENSG00000074416,MGLL,monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]
ILMN_1657722,ENSG00000145425,RPS3A,ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]
ILMN_1657722,ENSG00000208797,SNORD73A,"small nucleolar RNA, C/D box 73A [Source:HGNC Symbol;Acc:HGNC:10235]"
ILMN_1657722,ENSG00000214389,RPS3AP26,ribosomal protein S3a pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:36513]
ILMN_1657722,ENSG00000234797,RPS3AP6,ribosomal protein S3A pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:18630]
ILMN_1657728,ENSG00000282989,PDCL3P2,PDCL3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31705]
ILMN_1657729,ENSG00000213096,AC092279.1,zinc finger protein 254 [Source:NCBI gene;Acc:9534]
ILMN_1657744,ENSG00000178761,FAM219B,family with sequence similarity 219 member B [Source:HGNC Symbol;Acc:HGNC:24695]
ILMN_1657746,ENSG00000137274,BPHL,biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]
ILMN_1657749,ENSG00000186684,CYP27C1,cytochrome P450 family 27 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:33480]
ILMN_1657754,ENSG00000122484,RPAP2,RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:HGNC:25791]
ILMN_1657760,ENSG00000103528,SYT17,synaptotagmin 17 [Source:HGNC Symbol;Acc:HGNC:24119]
ILMN_1657769,ENSG00000100664,EIF5,eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]
ILMN_1657771,ENSG00000160741,CRTC2,CREB regulated transcription coactivator 2 [Source:HGNC Symbol;Acc:HGNC:27301]
ILMN_1657790,ENSG00000116754,SRSF11,serine and arginine rich splicing factor 11 [Source:HGNC Symbol;Acc:HGNC:10782]
ILMN_1657796,ENSG00000117632,STMN1,stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]
ILMN_1657797,ENSG00000172500,FIBP,FGF1 intracellular binding protein [Source:HGNC Symbol;Acc:HGNC:3705]
ILMN_1657803,ENSG00000000971,CFH,complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]
ILMN_1657810,ENSG00000164088,PPM1M,"protein phosphatase, Mg2+/Mn2+ dependent 1M [Source:HGNC Symbol;Acc:HGNC:26506]"
ILMN_1657812,None,None,None
ILMN_1657818,ENSG00000173226,IQCB1,IQ motif containing B1 [Source:HGNC Symbol;Acc:HGNC:28949]
ILMN_1657827,None,None,None
ILMN_1657836,ENSG00000090924,PLEKHG2,pleckstrin homology and RhoGEF domain containing G2 [Source:HGNC Symbol;Acc:HGNC:29515]
ILMN_1657837,ENSG00000144161,ZC3H8,zinc finger CCCH-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30941]
ILMN_1657838,None,None,None
